AWL,ASL,NWO,NVB,NAJ,NPV,NST,CDV,NTP,TPR,Real=1/Fake=0
4.7455,6.1111,55,6,8,0,9,0.9667,1,0.0182,1
4.7632,7.6,38,6,4,0,5,0.9524,2,0.0526,1
4.6765,6.8,34,1,6,0,5,0.8095,0,0.0,1
3.9091,11.0,77,7,10,0,7,1.0,0,0.0,1
3.7143,11.0,77,7,10,0,7,0.8889,0,0.0,1
4.7632,12.6667,38,1,7,0,3,0.9,1,0.0263,0
4.4018,10.1818,112,9,15,2,11,0.8269,1,0.0089,0
4.5263,19.0,57,3,10,1,3,1.0,1,0.0175,0
3.88,12.5,50,6,5,0,4,0.9286,1,0.02,0
4.1132,11.7778,106,10,12,0,9,0.8302,0,0.0,1
4.025,13.3333,40,5,4,0,3,0.8947,0,0.0,1
4.3231,13.0,65,5,7,0,5,0.9032,0,0.0,1
4.2903,15.5,31,2,4,0,2,0.8824,0,0.0,1
4.2727,8.25,33,7,2,0,4,0.9412,2,0.0606,0
4.0,19.25,77,11,8,0,4,0.8333,1,0.013,0
3.5,17.3333,52,6,2,1,3,0.8889,0,0.0,0
4.1905,7.0,42,5,5,0,6,0.9545,0,0.0,0
4.0385,10.4,52,5,4,0,5,1.0,1,0.0192,1
4.08,12.5,100,15,6,0,8,0.8837,0,0.0,1
4.5,9.2,46,5,5,0,5,0.8333,0,0.0,1
5.0215,11.625,93,12,15,1,8,0.9464,0,0.0,1
4.075,11.4286,80,13,8,1,7,0.8947,0,0.0,0
3.9545,8.8,44,3,5,1,5,0.9048,0,0.0,0
4.2712,7.375,59,6,7,0,8,1.0,2,0.0339,0
4.1489,15.6667,47,6,3,1,3,1.0,1,0.0213,0
4.1368,13.5714,95,9,11,1,7,0.7959,1,0.0105,1
4.1338,14.2381,299,42,33,0,21,0.76,1,0.0033,1
3.9772,10.9583,263,51,18,1,24,0.7016,0,0.0,1
5.2308,6.5,26,2,3,0,4,1.0,1,0.0385,0
4.2439,6.8333,41,2,6,0,6,1.0,2,0.0488,0
5.0,8.3333,25,3,2,0,3,0.8824,1,0.04,0
4.7222,10.8,108,7,19,0,10,0.9483,0,0.0,1
4.5581,10.75,43,6,7,0,4,1.0,0,0.0,1
4.1441,10.7273,118,12,14,2,11,0.9403,0,0.0,1
4.5143,17.5,70,9,6,1,4,0.9375,0,0.0,0
4.4068,11.8,59,6,4,0,5,0.9655,0,0.0,0
4.4507,17.75,71,11,5,1,4,0.8929,0,0.0,0
4.8364,9.1667,55,5,10,0,6,0.8611,0,0.0,1
4.0512,13.9524,293,37,25,0,21,0.6831,0,0.0,1
4.2222,13.5,162,25,13,0,12,0.8734,1,0.0062,1
4.587,7.6667,46,5,6,0,6,1.0,0,0.0,0
5.1429,7.0,14,2,4,0,2,1.0,1,0.0714,0
4.4,10.0,10,0,2,0,1,0.8571,0,0.0,0
3.7273,11.0,55,2,6,0,5,0.9259,1,0.0182,1
4.3182,7.3333,44,5,8,0,6,0.8966,0,0.0,1
4.3881,16.75,67,8,6,0,4,0.8,1,0.0149,1
4.0,9.0,9,0,2,0,1,1.0,0,0.0,0
3.75,20.0,20,2,1,0,1,0.8889,0,0.0,0
4.0,6.5,13,1,3,0,2,1.0,0,0.0,0
4.551,8.9091,98,10,15,0,11,0.8214,0,0.0,1
3.9851,11.1667,67,8,10,0,6,0.8,0,0.0,1
4.3,10.0,40,8,3,0,4,0.9565,0,0.0,1
4.4,12.0,60,3,7,0,5,0.9706,1,0.0167,0
5.25,28.0,28,3,4,0,1,1.0,0,0.0,0
4.4872,15.6,78,8,7,1,5,0.9524,1,0.0128,0
4.5952,7.0,42,4,6,0,6,1.0,1,0.0238,1
4.6739,9.2,46,2,8,0,5,0.8276,0,0.0,1
4.1429,10.5,21,4,3,0,2,1.0,0,0.0,1
5.0741,6.75,27,3,3,0,4,0.875,1,0.037,0
4.6,5.0,15,2,1,0,3,0.8889,0,0.0,0
4.0851,15.6667,47,7,5,0,3,1.0,0,0.0,0
4.1884,13.8,69,8,10,0,5,0.8889,1,0.0145,1
3.5714,14.0,28,3,3,0,2,1.0,1,0.0357,0
4.3182,7.3333,44,5,8,0,6,0.8966,0,0.0,1
5.0741,6.75,27,3,3,0,4,0.875,1,0.037,0
4.0794,21.0,63,9,4,0,3,0.9355,0,0.0,1
3.619,21.0,21,1,5,0,1,1.0,0,0.0,0
4.3279,15.25,122,17,11,1,8,0.8644,1,0.0082,1
3.7308,13.0,52,4,5,0,4,0.9524,2,0.0385,1
4.2258,7.75,31,1,9,0,4,1.0,2,0.0645,1
3.7083,10.2857,72,11,7,0,7,0.9118,0,0.0,0
4.28,8.3333,25,2,6,0,3,1.0,0,0.0,0
5.6667,30.0,30,1,6,0,1,0.875,1,0.0333,0
4.2,15.0,30,5,3,1,2,1.0,0,0.0,1
4.2,5.0,15,2,1,0,3,0.9,0,0.0,0
4.0204,16.3333,49,5,7,0,3,1.0,2,0.0408,1
4.5263,6.3333,19,4,1,0,3,1.0,0,0.0,0
4.0213,11.75,47,5,5,0,4,0.913,0,0.0,1
4.0,9.25,37,5,1,0,4,1.0,0,0.0,0
4.8378,18.5,37,3,5,0,2,1.0,1,0.027,1
3.3636,11.0,11,1,2,0,1,1.0,0,0.0,0
4.7674,8.6,43,2,8,0,5,0.8966,1,0.0233,1
4.5,18.0,36,6,2,0,2,0.8889,0,0.0,0
4.0682,22.0,44,3,7,0,2,1.0,0,0.0,1
4.25,14.6667,44,6,4,0,3,0.8182,0,0.0,0
4.7292,9.6,48,4,5,0,5,0.9655,1,0.0208,1
4.1569,17.0,51,6,5,1,3,0.9565,0,0.0,0
4.9737,7.6,38,3,3,0,5,1.0,3,0.0789,1
4.1481,9.0,27,4,3,0,3,1.0,0,0.0,0
4.4286,14.0,42,4,7,0,3,0.9091,1,0.0238,1
4.2083,8.0,24,4,2,0,3,1.0,0,0.0,0
4.3939,12.375,99,16,7,0,8,0.9048,1,0.0101,1
4.1948,15.4,77,10,8,0,5,0.8919,0,0.0,1
4.3763,15.5,93,8,13,0,6,0.9574,0,0.0,1
3.96,8.3333,25,3,5,0,3,1.0,0,0.0,0
4.6,11.6667,35,7,5,0,3,1.0,0,0.0,0
3.7059,8.5,34,6,1,0,4,1.0,1,0.0294,0
4.2895,10.8571,76,12,10,0,7,0.8684,0,0.0,1
4.4091,8.8,44,4,5,0,5,0.84,0,0.0,0
4.2037,6.0,54,7,9,0,9,0.9615,2,0.037,1
4.5333,11.25,45,2,6,1,4,1.0,1,0.0222,0
4.8095,21.0,42,6,4,0,2,1.0,0,0.0,1
5.1714,7.0,35,1,8,0,5,0.8889,0,0.0,0
3.9531,12.8,64,7,10,0,5,0.9286,0,0.0,1
4.6136,11.0,44,4,6,0,4,1.0,0,0.0,0
4.5135,12.3333,37,5,6,0,3,0.95,0,0.0,1
4.2258,15.5,31,3,2,0,2,1.0,0,0.0,0
4.1765,8.5,17,1,1,0,2,1.0,0,0.0,1
4.2889,11.25,45,8,5,0,4,0.95,0,0.0,0
4.2887,17.75,142,14,13,0,8,0.8028,0,0.0,1
3.7778,6.0,18,1,3,0,3,1.0,0,0.0,1
3.6957,15.3333,46,7,3,0,3,0.8182,0,0.0,1
4.04,6.25,25,2,4,0,4,0.9091,2,0.08,0
5.0714,7.0,14,1,2,0,2,1.0,0,0.0,0
4.1176,25.5,51,9,5,0,2,0.913,0,0.0,0
4.1538,10.4,52,6,5,0,5,0.9565,0,0.0,1
4.625,6.8571,48,6,10,0,7,0.9231,0,0.0,1
5.6154,5.2,26,6,1,0,5,1.0,0,0.0,1
4.2093,10.75,43,6,6,0,4,0.9583,1,0.0233,0
4.2903,12.4,62,10,11,0,5,0.9714,0,0.0,0
5.0455,11.0,44,6,6,0,4,1.0,0,0.0,0
4.2188,8.0,32,5,4,0,4,1.0,0,0.0,1
3.5938,5.3333,32,2,5,0,6,1.0,2,0.0625,0
4.0541,7.4,37,3,5,0,5,0.9474,1,0.027,0
4.6,5.0,15,2,1,0,3,0.8889,0,0.0,1
4.1522,9.2,46,10,1,0,5,0.9583,2,0.0435,1
4.0303,6.6,33,3,6,0,5,0.9412,1,0.0303,0
4.2152,6.5833,79,8,14,0,12,0.8636,1,0.0127,1
4.2979,11.75,47,6,7,0,4,0.8846,0,0.0,1
4.9167,8.0,24,4,1,0,3,0.9286,0,0.0,0
4.7333,6.0,30,3,6,0,5,1.0,1,0.0333,0
4.7222,18.0,54,6,6,1,3,1.0,0,0.0,1
4.1429,12.25,49,5,8,0,4,0.9615,1,0.0204,0
3.9375,14.0,112,14,12,0,8,0.9,0,0.0,1
4.1596,15.6667,94,11,6,0,6,0.9302,0,0.0,1
4.7841,14.6667,88,9,9,1,6,0.9592,2,0.0227,1
4.5556,4.5,9,2,1,0,2,1.0,0,0.0,0
4.381,10.5,21,2,1,0,2,0.9,2,0.0952,0
4.55,5.0,20,5,2,0,4,0.8462,1,0.05,0
4.5952,7.0,42,4,6,0,6,1.0,1,0.0238,1
4.3243,9.25,37,4,5,0,4,0.8421,0,0.0,1
4.4138,9.6667,29,1,4,0,3,1.0,0,0.0,1
4.4091,11.0,22,1,4,0,2,0.9167,0,0.0,0
5.0833,12.0,12,0,3,0,1,1.0,0,0.0,0
4.85,6.6667,20,2,2,0,3,0.9091,0,0.0,0
4.3243,9.25,37,4,6,0,4,0.9524,0,0.0,1
4.3333,6.0,12,0,2,0,2,1.0,2,0.1667,0
3.8,11.6667,70,9,9,0,6,0.7838,1,0.0143,1
4.3684,9.5,19,0,2,0,2,0.9091,0,0.0,0
3.9481,11.0,77,7,8,0,7,0.9714,1,0.013,1
4.1071,7.0,28,2,3,0,4,1.0,0,0.0,0
4.6863,10.2,51,11,3,0,5,0.7812,0,0.0,1
4.0893,14.0,56,9,5,1,4,0.8889,0,0.0,0
5.0541,7.4,37,5,4,0,5,0.95,0,0.0,1
4.0,10.25,41,4,5,0,4,0.8824,2,0.0488,0
4.7368,11.4,57,9,7,0,5,1.0,1,0.0175,1
4.0204,12.25,49,10,4,1,4,0.9615,0,0.0,0
4.1404,14.25,57,8,6,0,4,0.9,0,0.0,1
4.0,10.25,41,3,5,0,4,1.0,0,0.0,0
3.9677,7.75,31,4,3,0,4,0.9167,0,0.0,1
3.95,10.0,40,6,3,0,4,0.9412,2,0.05,0
4.0833,12.0,36,7,3,0,3,0.95,2,0.0556,1
4.4912,14.25,57,10,2,0,4,0.8462,0,0.0,0
4.4396,9.1,91,10,10,2,10,0.7959,1,0.011,1
4.1818,11.0,55,4,9,0,5,0.9355,1,0.0182,0
4.1408,10.1429,71,10,4,1,7,0.9375,0,0.0,1
4.5789,11.4,57,5,5,0,5,0.871,2,0.0351,0
4.1159,15.9231,207,26,22,2,13,0.883,0,0.0,1
4.6522,9.2,46,9,5,0,5,0.8519,0,0.0,0
3.7206,6.8,68,12,4,0,10,0.9032,0,0.0,1
4.0192,10.4,52,4,4,0,5,0.9583,1,0.0192,0
4.2614,17.6,88,9,7,1,5,0.95,0,0.0,1
4.4789,11.8333,71,7,10,0,6,0.8529,1,0.0141,0
4.5741,18.0,54,5,6,0,3,0.875,3,0.0556,1
4.5476,10.5,42,6,5,2,4,0.95,0,0.0,0
