Scenario,Accuracy,Macro F1,CV Accuracy
Imbalanced - All Features,0.5882352941176471,0.5090616460796931,0.5747919463087248
Imbalanced - Feature Selection,0.5989304812834224,0.5510570643175462,0.5828814317673378
Balanced - All Features,0.5561497326203209,0.517370025673941,0.8079897857852177
Balanced - Feature Selection,0.5187165775401069,0.509640522875817,0.7349184281458363
