Scenario,Accuracy,Macro F1,CV Accuracy
Imbalanced - All Features,0.6666666666666666,0.5322368421052632,0.64375
Imbalanced - Feature Selection,0.7333333333333333,0.6005262266268555,0.66875
Balanced - All Features,0.65,0.5661642211743632,0.822972972972973
Balanced - Feature Selection,0.6583333333333333,0.5555563321218898,0.7567567567567568
